Research ID,Raw Skill,Skill Tag,Correlation Coefficient
69322097,operations,ESCO.805,0.8502768034758613
69322097,business communicating,ESCO.113,0.9164859009497189
69322097,business communicating,ESCO.761,0.8721332689642308
69322097,business communicating,ESCO.835,0.8869557367640764
69322097,medical,ESCO.892,0.9245661570084469
69322097,data services,ESCO.7,0.8807227511255827
69322097,data services,ESCO.12,0.8720956562490245
69322097,data services,ESCO.25,0.8797280769340585
69322097,data services,ESCO.33,0.8933762861447282
69322097,data services,ESCO.44,0.8964755688599303
69322097,data services,ESCO.70,0.8801099194774662
69322097,data services,ESCO.134,0.8683530184051366
69322097,data services,ESCO.192,0.8809465293463239
69322097,data services,ESCO.223,0.8750253516197277
69322097,data services,ESCO.224,0.8786694161835895
69322097,data services,ESCO.229,0.9072679470209783
69322097,data services,ESCO.299,0.9133111011656293
69322097,data services,ESCO.315,0.8616720288559312
69322097,data services,ESCO.341,0.8689959641837647
69322097,data services,ESCO.354,0.921328152213906
69322097,data services,ESCO.373,0.859200487237407
69322097,data services,ESCO.394,0.8649684648207491
69322097,data services,ESCO.409,0.8676454899472283
69322097,data services,ESCO.433,0.9018625714268631
69322097,data services,ESCO.484,0.8666709700147937
69322097,data services,ESCO.508,0.917547680175463
69322097,data services,ESCO.535,0.8762728507010223
69322097,data services,ESCO.566,0.8894449478574336
69322097,data services,ESCO.611,0.8603303129842489
69322097,data services,ESCO.646,0.877420102984573
69322097,data services,ESCO.686,0.8697290225451867
69322097,data services,ESCO.757,0.9177384092707214
69322097,data services,ESCO.766,0.9350805128034682
69322097,data services,ESCO.793,0.8724821374833397
69322097,data services,ESCO.795,0.9081263269994942
69322097,data services,ESCO.815,0.8984317085943951
69322097,data services,ESCO.816,0.9273012388719553
69322097,data services,ESCO.831,0.9010253799693559
69322097,data services,ESCO.841,0.8998696099627187
69322097,data services,ESCO.843,0.9080461151005637
69322097,data services,ESCO.864,0.8962841185741398
69322097,data services,ESCO.970,0.8518242118693713
69322097,data services,ESCO.976,0.8724598423398365
69322097,data services,ESCO.991,0.923440292007553
69322097,data services,ESCO.1019,0.9021511471511597
69322097,data services,ESCO.1056,0.85755940295432
69322097,data services,ESCO.1125,0.8710577789516697
69322097,data services,ESCO.1133,0.9191540216211729
69322097,data services,ESCO.1186,0.8814496176379872
69322097,data services,ESCO.1211,0.9045515742238391
69322097,data services,ESCO.1214,0.8702426440305752
69322097,data services,ESCO.1243,0.8881148098710219
69322097,data services,ESCO.1267,0.9115566300716456
69322097,data services,ESCO.1276,0.8868934909183518
69322097,industry,ESCO.930,0.8775265422989359
69322097,network management,ESCO.6,0.9112091149816849
69322097,network management,ESCO.39,0.8743627335640201
69322097,network management,ESCO.57,0.9144501875382546
69322097,network management,ESCO.72,0.8526712103349047
69322097,network management,ESCO.137,0.869424791750814
69322097,network management,ESCO.158,0.8617509170180789
69322097,network management,ESCO.187,0.8802068813312699
69322097,network management,ESCO.253,0.8566680432079025
69322097,network management,ESCO.412,0.873153349386519
69322097,network management,ESCO.477,0.8696554769368655
69322097,network management,ESCO.544,0.877944127147269
69322097,network management,ESCO.577,0.8997573490546461
69322097,network management,ESCO.665,0.8537804309924721
69322097,network management,ESCO.735,0.8612568713056151
69322097,network management,ESCO.854,0.8930666843438982
69322097,network management,ESCO.888,0.892587456666488
69322097,network management,ESCO.899,0.8526455432959411
69322097,network management,ESCO.956,0.8550161031827631
69322097,network management,ESCO.1062,0.8740204219948077
69322097,network management,ESCO.1074,0.8659795768997074
69322097,network management,ESCO.1077,0.8600659813990312
69322097,network management,ESCO.1092,0.8627945404176033
69322097,network management,ESCO.1200,0.8739635752381588
69322097,network management,ESCO.1229,0.8517233223490339
69322097,maintenance testing,ESCO.105,0.8698878774265832
69322097,maintenance testing,ESCO.408,0.8568636343381125
69322097,maintenance testing,ESCO.603,0.8691002443372977
69322097,maintenance testing,ESCO.631,0.8689183542082504
69322097,maintenance testing,ESCO.852,0.8715491465794001
69322097,maintenance testing,ESCO.1029,0.8702209699011084
69322097,maintenance testing,ESCO.1168,0.8794788037052801
69322097,maintenance testing,ESCO.1278,0.8847496632191711
69322097,CSS,ESCO.1150,1.0
69322097,business,ESCO.113,0.8795488667004282
69322097,business,ESCO.761,0.8897121939373873
69322097,business,ESCO.835,0.8735380161726999
